Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56302573,Farenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""200110550463""",0,3.97,Qanun Nəşriyyatı,,208,2019,1953,,2023/08/10,currently-reading,currently-reading (#3),currently-reading,,,,1,0
10959,Sophie's World,Jostein Gaarder,"Gaarder, Jostein",Paulette Møller,"=""1857993284""","=""9781857993288""",0,3.96,Phoenix,Paperback,403,1995,1991,,2023/08/10,,,read,,,,1,0
38255329,How Fascism Works: The Politics of Us and Them,Jason F. Stanley,"Stanley, Jason F.",,"=""0525511830""","=""9780525511830""",0,4.18,Random House,Hardcover,240,2018,2018,,2023/07/12,,,read,,,,1,0
895163,"To Sir, With Love",E.R. Braithwaite,"Braithwaite, E.R.",,"=""0515105198""","=""9780515105193""",0,4.19,Jove,Mass Market Paperback,189,1990,1959,,2023/06/26,,,read,,,,1,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",0,3.73,Anchor Books,Paperback,215,1994,1958,,2023/06/22,,,read,,,,1,0
17288199,Disturber of the Hearts,ابن الجوزي,"الجوزي, ابن",Ayman ibn Khalid,"=""1904336353""","=""9781904336358""",0,4.63,Dar as-sunnah ,Paperback,112,2012,,,2023/05/26,to-read,to-read (#1),to-read,,,,0,0
8409493,Brides are Not for Burning,Dina Mehta,"Mehta, Dina",,"=""8171671144""","=""9788171671144""",0,3.18,Rupa & Co,Paperback,94,1993,1993,,2023/05/26,,,read,,,,1,0
669780,Season of Migration to the North,Tayeb Salih,"Salih, Tayeb",Denys Johnson-Davies,"=""0435900668""","=""9780435900663""",5,3.72,Heinemann,Paperback,176,1970,1966,,2023/04/29,,,read,,,,1,0
6192,Disgrace,J.M. Coetzee,"Coetzee, J.M.",,"=""0143036378""","=""9780143036371""",0,3.85,Penguin Books,Paperback,220,2005,1999,,2022/09/09,,,read,,,,1,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, André Gide, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg, Gregorio Martínez Sierra","=""0521618746""","=""9780521618748""",0,4.02,Cambridge University Press,Paperback,289,2005,1601,,2022/07/14,,,read,,,,1,0
